time,value
2024-05-28 12:00:17,0
2024-05-28 12:01:17,0
2024-05-28 12:02:17,0
2024-05-28 12:03:16,0
2024-05-28 12:04:17,0
2024-05-28 12:05:17,0
2024-05-28 12:06:17,0
2024-05-28 12:07:17,0
2024-05-28 12:08:17,0
2024-05-28 12:09:17,0
2024-05-28 12:10:17,0
2024-05-28 12:11:17,0
2024-05-28 12:12:17,0
2024-05-28 12:13:17,0
2024-05-28 12:14:17,0
2024-05-28 12:15:17,0
2024-05-28 12:16:17,0
2024-05-28 12:17:17,0
2024-05-28 12:18:17,0
2024-05-28 12:19:17,0
2024-05-28 12:20:17,0
2024-05-28 12:21:17,0
2024-05-28 12:22:17,0
2024-05-28 12:23:17,604880
2024-05-28 12:24:17,598670
2024-05-28 12:25:17,0
2024-05-28 12:26:17,0
2024-05-28 12:27:17,0
2024-05-28 12:28:17,0
2024-05-28 12:29:17,0
2024-05-28 12:30:17,0
2024-05-28 12:31:18,0
2024-05-28 12:32:17,0
2024-05-28 12:33:17,0
2024-05-28 12:34:17,0
2024-05-28 12:35:17,0
2024-05-28 12:36:17,0
2024-05-28 12:37:18,0
2024-05-28 12:38:33,0
2024-05-28 12:39:18,0
2024-05-28 12:40:18,0
2024-05-28 12:41:18,0
2024-05-28 12:42:18,0
2024-05-28 12:43:18,0
2024-05-28 12:44:18,0
2024-05-28 12:45:18,0
2024-05-28 12:46:58,0
2024-05-28 12:47:18,0
2024-05-28 12:48:18,0
2024-05-28 12:49:18,0
2024-05-28 12:50:18,0
2024-05-28 12:51:18,0
2024-05-28 12:52:18,0
2024-05-28 12:53:18,0
2024-05-28 12:54:18,0
2024-05-28 12:55:18,0
2024-05-28 12:56:18,0
2024-05-28 12:57:18,0
2024-05-28 12:58:18,0
2024-05-28 12:59:18,0
2024-05-28 13:00:18,0
2024-05-28 13:01:19,0
2024-05-28 13:02:18,0
2024-05-28 13:03:19,0
2024-05-28 13:04:18,0
2024-05-28 13:05:19,600140
2024-05-28 13:06:18,600140
2024-05-28 13:07:19,0
2024-05-28 13:08:18,0
2024-05-28 13:09:18,0
2024-05-28 13:10:18,0
2024-05-28 13:11:18,0
2024-05-28 13:12:18,0
2024-05-28 13:13:18,0
2024-05-28 13:14:19,0
2024-05-28 13:15:18,0
2024-05-28 13:16:19,0
2024-05-28 13:17:19,0
2024-05-28 13:18:19,0
2024-05-28 13:19:19,0
2024-05-28 13:20:19,0
2024-05-28 13:21:19,0
2024-05-28 13:22:19,0
2024-05-28 13:23:19,0
2024-05-28 13:24:19,0
2024-05-28 13:25:19,0
2024-05-28 13:26:19,0
2024-05-28 13:27:20,0
2024-05-28 13:28:19,0
2024-05-28 13:29:19,0
2024-05-28 13:30:19,0
2024-05-28 13:31:19,108980
2024-05-28 13:32:19,111240
2024-05-28 13:33:19,112120
2024-05-28 13:34:19,113500
2024-05-28 13:35:19,115530
2024-05-28 13:36:19,114110
2024-05-28 13:37:19,113770
2024-05-28 13:38:19,113770
2024-05-28 13:39:19,113770
2024-05-28 13:40:19,114000
2024-05-28 13:41:19,114650
2024-05-28 13:42:20,115340
2024-05-28 13:43:20,113000
2024-05-28 13:44:20,113000
2024-05-28 13:45:20,115340
2024-05-28 13:46:20,115230
2024-05-28 13:47:20,113790
2024-05-28 13:48:20,113560
2024-05-28 13:49:20,668970
2024-05-28 13:50:20,667740
2024-05-28 13:51:20,673810
2024-05-28 13:52:20,673810
2024-05-28 13:53:20,672230
2024-05-28 13:54:20,672800
2024-05-28 13:55:20,115140
2024-05-28 13:56:20,113790
2024-05-28 13:57:20,113670
2024-05-28 13:58:20,113110
2024-05-28 13:59:20,113560
2024-05-28 14:00:20,113560
2024-05-28 14:01:20,115110
2024-05-28 14:02:20,115110
2024-05-28 14:03:20,113880
2024-05-28 14:04:20,113650
2024-05-28 14:05:29,114000
2024-05-28 14:06:21,113770
2024-05-28 14:07:20,113770
2024-05-28 14:08:21,114880
2024-05-28 14:09:20,114880
2024-05-28 14:10:21,0
2024-05-28 14:11:20,0
2024-05-28 14:12:20,0
2024-05-28 14:13:20,0
2024-05-28 14:14:21,0
2024-05-28 14:15:20,0
2024-05-28 14:16:20,0
2024-05-28 14:17:21,0
2024-05-28 14:18:21,0
2024-05-28 14:19:21,0
2024-05-28 14:20:21,0
2024-05-28 14:21:21,0
2024-05-28 14:22:21,0
2024-05-28 14:23:21,0
2024-05-28 14:24:21,0
2024-05-28 14:25:21,0
2024-05-28 14:26:21,0
2024-05-28 14:27:21,0
2024-05-28 14:28:21,0
2024-05-28 14:29:21,0
2024-05-28 14:30:21,0
2024-05-28 14:31:56,0
2024-05-28 14:32:21,0
2024-05-28 14:33:21,0
2024-05-28 14:34:21,592290
2024-05-28 14:35:22,592290
2024-05-28 14:36:21,0
2024-05-28 14:37:21,0
2024-05-28 14:38:21,0
2024-05-28 14:39:21,0
2024-05-28 14:40:21,0
2024-05-28 14:41:21,0
2024-05-28 14:42:21,0
2024-05-28 14:43:21,0
2024-05-28 14:44:21,0
2024-05-28 14:45:22,0
2024-05-28 14:46:21,0
2024-05-28 14:47:21,0
2024-05-28 14:48:21,0
2024-05-28 14:49:22,0
2024-05-28 14:50:22,0
2024-05-28 14:51:22,0
2024-05-28 14:52:22,0
2024-05-28 14:53:22,0
2024-05-28 14:54:22,0
2024-05-28 14:55:22,0
2024-05-28 14:56:22,0
2024-05-28 14:57:22,0
2024-05-28 14:58:22,0
2024-05-28 14:59:22,0
2024-05-28 15:00:22,0
2024-05-28 15:01:22,0
2024-05-28 15:02:22,0
2024-05-28 15:03:22,0
2024-05-28 15:04:23,0
2024-05-28 15:05:22,115300
2024-05-28 15:06:22,115300
2024-05-28 15:07:22,114880
2024-05-28 15:08:22,113110
2024-05-28 15:09:22,114570
2024-05-28 15:10:38,114350
2024-05-28 15:11:23,116150
2024-05-28 15:12:23,682860
2024-05-28 15:13:23,675960
2024-05-28 15:14:23,675960
2024-05-28 15:15:23,664000
2024-05-28 15:16:23,664000
2024-05-28 15:17:22,664000
2024-05-28 15:18:22,116720
2024-05-28 15:19:23,116720
2024-05-28 15:20:22,117850
2024-05-28 15:21:23,115930
2024-05-28 15:22:22,114920
2024-05-28 15:23:23,114920
2024-05-28 15:24:23,116610
2024-05-28 15:25:23,116160
2024-05-28 15:26:23,116050
2024-05-28 15:27:23,115590
2024-05-28 15:28:23,117970
2024-05-28 15:29:23,117970
2024-05-28 15:30:23,115710
2024-05-28 15:31:23,115710
2024-05-28 15:32:23,115370
2024-05-28 15:33:23,114920
